state,total_cases,case_rate_per_100000,cases_last_7days,deaths_total,deaths_last_7days,date_rate_per_100000,case_rate_per100000_in_last_7_days,death_rate_per100000_in_last_7_days,population_estimated2019
Alabama,189149,3870,12085,2914,71,59,35.3,0.2,4903185
Alaska,14456,1960,2619,77,9,10,50.7,0.2,731545
Arizona,242480,3381,7574,5918,59,82,15.1,0.1,7278717
Arkansas,109712,3640,6914,1894,122,62,32.8,0.6,3017804
California,912904,2308,32180,17541,352,44,11.6,0.1,39512223
Colorado,102014,1791,11792,2268,70,39,29.6,0.2,5758736
Connecticut,70446,1972,5073,4609,40,129,20.3,0.2,3565287
Delaware,24553,2539,866,689,11,71,12.8,0.2,973764
Florida,784331,3682,26025,16648,381,78,17.5,0.3,21477737
Georgia,356848,3392,11313,7923,194,75,15.4,0.3,10617423
Hawaii,14841,1045,557,214,9,15,5.6,0.1,1415872
Idaho,62746,3577,6146,615,62,35,50.1,0.5,1787065
Illinois,400171,3141,36425,9945,298,78,40.8,0.3,12671821
Indiana,172730,2581,17484,4260,195,63,37.3,0.4,6732219
Iowa,122355,3877,10544,1696,95,53,47.7,0.4,3155070
Kansas,82045,2818,7589,1007,55,34,37.2,0.3,2913314
Kentucky,103305,2312,11006,1461,81,32,35.2,0.3,4467673
Louisiana,186216,3996,4312,5908,109,126,13.2,0.3,4648794
Maine,6570,491,475,146,0,10,5.1,0,1344212
Maryland,144314,2388,5623,4137,59,68,13.3,0.1,6045680
Massachusetts,161637,2342,7814,9935,138,143,16.2,0.3,6892503
Michigan,190043,1903,19967,7653,189,76,28.6,0.3,9986857
Minnesota,142311,2536,14159,2472,118,44,36.1,0.3,5639632
Mississippi,119336,3996,5460,3328,90,111,26.1,0.4,2976149
Missouri,177693,2900,14970,2899,242,47,34.9,0.6,6137428
Montana,30853,2904,4533,337,55,31,61,0.7,1068778
Nebraska,68150,3532,6865,637,50,33,50.8,0.4,1934408
Nevada,98554,3248,5701,1769,33,58,26.8,0.2,3080156
New Hampshire,10768,794,774,482,12,35,8.2,0.1,1359711
New Jersey,234547,2633,10162,16332,69,183,16.3,0.1,8882190
New Mexico,44904,2143,5527,994,41,47,37.7,0.3,2096829
New York,241569,2168,8011,9251,74,83,10.3,0.1,19453561
North Carolina,269021,2591,16029,4283,201,41,22.1,0.3,10488084
North Dakota,42483,5589,6544,512,72,67,123,1.4,762062
Ohio,208937,1787,18507,5275,114,45,22.6,0.1,11689100
Oklahoma,126618,3211,7777,1313,85,33,28.2,0.3,3956971
Oregon,43793,1045,2983,673,27,16,10.2,0.1,4217737
Pennsylvania,202876,1584,14516,8762,170,68,16.2,0.2,12801989
Rhode Island,32312,3056,2718,1195,22,113,36.7,0.3,1059361
South Carolina,174591,3434,7106,3889,134,76,20,0.4,5148714
South Dakota,43000,4874,6983,403,56,45,113.1,0.9,884659
Tennessee,256880,3794,18973,3263,252,48,40,0.5,6829174
Texas,886820,3090,41720,17819,533,62,20.8,0.3,28995881
Utah,110640,3500,11091,598,35,18,50.1,0.2,3205958
Vermont,2155,344,168,58,0,9,3.8,0,623989
Virginia,179639,2109,8355,3643,104,42,14,0.2,8535519
Washington,105557,1401,5032,2359,70,31,9.5,0.1,7614893
West Virginia,23466,1300,2409,443,25,24,19.1,0.2,1792147
Wisconsin,226705,3900,30882,2003,278,34,75.9,0.7,5822434
Wyoming,12507,2165,2388,87,19,15,59.1,0.5,578759